id,blok_gudang,mode_pengiriman,panggilan_layanan_pelanggan,rating_pelanggan,harga_produk,pembelian_sebelumnya,kepentingan_produk,jenis_kelamin,diskon_ditawarkan,berat_dalam_gram,pengiriman_tepat_waktu
1741,F,kapal,5,3,267.0,3,rendah,Laki-laki,9,5258.0,1
1742,B,kapal,4,4,266.0,3,rendah,Laki-laki,3,5531.0,1
1743,A,kapal,3,1,160.0,2,sedang,Laki-laki,5,4435.0,1
1744,C,darat,4,5,197.0,3,rendah,Perempuan,34,3784.0,1
1745,C,pesawat,5,1,233.0,5,sedang,Laki-laki,4,1622.0,0
1746,F,kapal,5,5,185.0,3,rendah,Laki-laki,5,4520.0,1
1747,B,kapal,3,1,153.0,2,rendah,Laki-laki,7,5292.0,1
1748,F,kapal,3,3,202.0,3,sedang,Perempuan,8,5486.0,1
1749,C,kapal,3,5,193.0,3,tinggi,Perempuan,10,5991.0,1
1750,B,kapal,3,3,198.0,3,rendah,Laki-laki,49,2446.0,1
1751,A,kapal,3,3,230.0,3,rendah,Laki-laki,4,4018.0,1
1752,D,pesawat,4,4,132.0,3,sedang,Perempuan,5,4613.0,0
1753,D,kapal,3,3,267.0,2,rendah,Perempuan,52,2949.0,1
1754,F,pesawat,4,3,235.0,5,rendah,Perempuan,4,1839.0,1
1755,D,kapal,3,4,214.0,3,rendah,Perempuan,1,5722.0,0
1756,F,kapal,5,1,137.0,3,sedang,Perempuan,10,4641.0,0
1757,B,kapal,5,3,243.0,6,rendah,Perempuan,10,1078.0,1
1758,D,kapal,6,1,255.0,4,rendah,Laki-laki,9,1575.0,0
1759,A,kapal,4,2,136.0,2,sedang,Laki-laki,19,1387.0,1
1760,C,kapal,5,1,298.0,4,rendah,Perempuan,4,1853.0,0
1761,A,kapal,3,5,224.0,3,rendah,Laki-laki,6,5115.0,0
1762,C,kapal,5,5,135.0,3,sedang,Laki-laki,2,5849.0,1
1763,B,kapal,5,4,165.0,4,sedang,Laki-laki,7,5091.0,1
1764,D,kapal,4,3,161.0,6,,Laki-laki,6,5560.0,1
1765,F,kapal,5,5,269.0,5,rendah,Laki-laki,4,1454.0,0
1766,D,darat,5,4,189.0,2,rendah,Perempuan,4,5575.0,1
1767,D,darat,6,3,113.0,2,sedang,Perempuan,4,5130.0,1
1768,F,kapal,2,1,125.0,4,rendah,Laki-laki,1,4097.0,1
1769,F,kapal,3,2,178.0,2,rendah,Laki-laki,32,1329.0,1
1770,F,pesawat,5,5,225.0,4,tinggi,Perempuan,3,5274.0,1
1771,D,kapal,4,3,174.0,3,rendah,Perempuan,5,1502.0,1
1772,C,kapal,4,5,233.0,3,sedang,Perempuan,2,4501.0,0
1773,F,kapal,3,1,152.0,2,rendah,Perempuan,25,1848.0,1
1774,C,kapal,5,1,245.0,3,sedang,Laki-laki,9,5690.0,0
1775,F,darat,5,1,303.0,5,sedang,Perempuan,4,1009.0,0
1776,B,kapal,3,3,135.0,3,sedang,Perempuan,28,1329.0,1
1777,B,pesawat,6,5,225.0,3,sedang,Laki-laki,10,4972.0,0
1778,F,darat,2,4,147.0,3,,Laki-laki,5,1920.0,1
1779,A,pesawat,3,5,245.0,10,sedang,Laki-laki,8,4909.0,1
1780,D,kapal,3,2,250.0,3,rendah,Perempuan,37,2736.0,1
1781,A,kapal,3,2,159.0,2,sedang,Laki-laki,8,4326.0,0
1782,C,kapal,4,3,253.0,6,rendah,Perempuan,4,1788.0,1
1783,F,pesawat,4,2,219.0,3,rendah,Laki-laki,2,3402.0,1
1784,C,darat,4,3,207.0,10,rendah,Perempuan,9,4179.0,0
1785,F,kapal,7,3,278.0,4,rendah,Laki-laki,2,1038.0,1
1786,A,darat,6,4,262.0,5,rendah,Laki-laki,9,1369.0,0
1787,A,kapal,4,2,222.0,2,sedang,Laki-laki,10,5115.0,1
1788,C,kapal,5,1,248.0,3,rendah,Laki-laki,37,3830.0,1
1789,C,kapal,3,4,175.0,2,rendah,Perempuan,2,1072.0,1
1790,C,kapal,5,3,138.0,3,rendah,Perempuan,5,5687.0,1
1791,B,kapal,4,5,220.0,3,sedang,Perempuan,63,3109.0,1
1792,C,pesawat,4,2,111.0,2,tinggi,Perempuan,4,5393.0,0
1793,C,pesawat,4,3,249.0,3,rendah,Laki-laki,5,5017.0,1
1794,D,kapal,4,5,178.0,3,rendah,Perempuan,48,1819.0,1
1795,D,kapal,5,3,210.0,3,tinggi,Perempuan,4,4819.0,0
1796,C,darat,3,1,209.0,3,rendah,Perempuan,20,3181.0,1
1797,C,pesawat,4,5,176.0,2,rendah,Perempuan,1,4155.0,0
1798,C,kapal,4,2,218.0,2,tinggi,Laki-laki,1,2990.0,1
1799,F,kapal,2,5,116.0,3,rendah,Perempuan,1,4091.0,1
1800,F,kapal,5,1,234.0,5,sedang,Perempuan,9,1932.0,1
1801,D,kapal,3,3,241.0,5,rendah,Laki-laki,8,2182.0,1
1802,B,kapal,4,4,170.0,2,rendah,Laki-laki,34,1512.0,1
1803,A,kapal,7,3,286.0,4,rendah,Perempuan,3,1670.0,0
1804,F,pesawat,4,5,187.0,2,rendah,Laki-laki,6,4316.0,1
1805,F,kapal,5,3,248.0,2,rendah,Perempuan,6,5863.0,1
1806,C,pesawat,6,1,261.0,4,rendah,Perempuan,6,1703.0,1
1807,D,kapal,3,3,214.0,2,rendah,Laki-laki,28,3869.0,1
1808,F,kapal,4,5,142.0,4,sedang,Perempuan,6,5027.0,0
1809,B,kapal,6,1,300.0,4,sedang,Perempuan,2,1790.0,1
1810,D,darat,5,3,217.0,3,rendah,Laki-laki,6,4934.0,1
1811,C,darat,4,3,192.0,3,rendah,Perempuan,43,,1
1812,F,pesawat,4,4,256.0,5,rendah,Laki-laki,9,1622.0,1
1813,A,kapal,4,4,147.0,5,sedang,Perempuan,33,1886.0,1
1814,F,pesawat,5,4,165.0,3,rendah,Perempuan,20,1150.0,1
1815,F,pesawat,5,3,178.0,2,sedang,Perempuan,60,,1
1816,C,pesawat,2,2,264.0,3,sedang,Laki-laki,1,4518.0,0
1817,A,darat,4,1,192.0,4,rendah,Laki-laki,3,1689.0,0
1818,F,darat,4,1,272.0,2,rendah,Perempuan,8,5328.0,1
1819,F,kapal,3,2,176.0,3,rendah,Perempuan,29,1953.0,1
1820,C,darat,3,1,194.0,3,sedang,Perempuan,4,5383.0,1
1821,B,kapal,2,4,248.0,3,rendah,Perempuan,5,5441.0,0
1822,C,pesawat,3,5,162.0,2,tinggi,Laki-laki,1,4573.0,1
1823,B,kapal,5,5,184.0,3,sedang,Laki-laki,7,4742.0,0
1824,B,kapal,4,2,258.0,5,sedang,Perempuan,1,1010.0,0
1825,F,kapal,4,4,186.0,7,sedang,Laki-laki,9,5418.0,0
1826,A,kapal,4,1,214.0,5,sedang,Laki-laki,51,2669.0,1
1827,D,kapal,4,4,272.0,5,rendah,Perempuan,3,5243.0,0
1828,A,darat,3,1,201.0,2,sedang,Perempuan,4,4857.0,1
1829,B,kapal,5,1,261.0,5,rendah,Laki-laki,5,1837.0,1
1830,C,darat,6,3,175.0,4,rendah,Laki-laki,3,4143.0,0
1831,C,kapal,4,4,186.0,3,rendah,Perempuan,8,4969.0,1
1832,C,kapal,4,3,183.0,2,rendah,Perempuan,32,3709.0,1
1833,D,kapal,4,2,223.0,3,,Laki-laki,7,4026.0,1
1834,F,kapal,4,3,218.0,3,tinggi,Perempuan,57,3311.0,1
1835,F,kapal,3,4,243.0,2,sedang,Laki-laki,1,5840.0,1
1836,F,darat,3,3,266.0,2,sedang,Laki-laki,46,3594.0,1
1837,A,kapal,2,4,166.0,3,rendah,Laki-laki,8,4968.0,1
1838,A,kapal,5,1,233.0,3,rendah,Laki-laki,10,5289.0,0
1839,A,kapal,3,1,241.0,3,rendah,Perempuan,10,4120.0,0
1840,F,kapal,5,4,222.0,3,rendah,Laki-laki,7,5340.0,0
1841,B,darat,4,5,180.0,2,sedang,Laki-laki,1,5622.0,0
1842,F,kapal,5,1,236.0,6,rendah,Laki-laki,4,1123.0,1
1843,D,kapal,3,2,169.0,3,rendah,Perempuan,3,5673.0,0
1844,F,kapal,4,3,220.0,4,,Laki-laki,19,3602.0,1
1845,B,kapal,5,2,168.0,3,rendah,Laki-laki,26,1526.0,1
1846,C,kapal,2,4,206.0,2,rendah,Perempuan,30,3955.0,1
1847,A,kapal,5,5,264.0,8,tinggi,Perempuan,10,5759.0,1
1848,F,kapal,6,2,247.0,4,rendah,Perempuan,3,1752.0,0
1849,F,darat,4,4,174.0,3,rendah,Laki-laki,49,1141.0,1
1850,F,pesawat,3,2,215.0,4,rendah,Perempuan,3,4042.0,0
1851,D,pesawat,4,2,230.0,3,sedang,Laki-laki,33,3602.0,1
1852,C,kapal,3,4,172.0,2,rendah,Laki-laki,5,5919.0,0
1853,F,darat,5,1,145.0,3,rendah,Laki-laki,20,1387.0,1
1854,D,kapal,4,5,238.0,10,sedang,Laki-laki,38,3556.0,1
1855,C,pesawat,6,2,118.0,2,rendah,Laki-laki,40,1014.0,1
1856,F,kapal,4,1,233.0,4,rendah,Laki-laki,2,1809.0,0
1857,C,kapal,4,2,194.0,3,rendah,Perempuan,10,5171.0,1
1858,D,darat,5,5,261.0,6,sedang,Perempuan,1,1082.0,0
1859,B,kapal,3,4,134.0,3,tinggi,Perempuan,6,5680.0,0
1860,A,kapal,4,5,157.0,4,rendah,Perempuan,8,4344.0,1
1861,B,kapal,4,1,177.0,4,sedang,Perempuan,33,1049.0,1
1862,F,kapal,4,4,264.0,3,rendah,Laki-laki,6,5959.0,1
1863,B,darat,5,4,280.0,4,rendah,Perempuan,19,3298.0,1
1864,C,kapal,3,4,235.0,2,rendah,Perempuan,10,4575.0,0
1865,D,pesawat,6,1,249.0,4,sedang,Laki-laki,2,1189.0,1
1866,C,kapal,2,4,120.0,2,sedang,Laki-laki,13,1240.0,1
1867,F,kapal,3,3,249.0,2,rendah,Perempuan,2,5078.0,0
1868,B,darat,4,3,216.0,3,sedang,Laki-laki,35,2567.0,1
1869,A,pesawat,5,1,274.0,3,sedang,Laki-laki,58,2098.0,1
1870,B,darat,3,4,188.0,6,sedang,Perempuan,6,4031.0,1
1871,B,pesawat,4,3,256.0,3,rendah,Perempuan,4,5068.0,1
1872,D,darat,5,2,171.0,2,rendah,Laki-laki,6,4236.0,0
1873,B,pesawat,4,5,158.0,5,sedang,Perempuan,55,1936.0,1
1874,F,kapal,4,3,218.0,5,rendah,Laki-laki,2,4823.0,1
1875,C,kapal,5,3,184.0,5,rendah,Laki-laki,3,5219.0,1
1876,C,kapal,4,4,258.0,2,sedang,Perempuan,5,4562.0,0
1877,D,kapal,2,2,153.0,2,rendah,Laki-laki,46,1130.0,1
1878,F,kapal,3,4,102.0,3,sedang,Laki-laki,9,4111.0,0
1879,F,pesawat,5,3,202.0,6,rendah,Perempuan,34,2936.0,1
1880,F,darat,4,5,231.0,3,rendah,Perempuan,6,4449.0,1
1881,F,pesawat,5,1,248.0,4,rendah,Perempuan,6,1944.0,1
1882,F,darat,3,5,234.0,2,sedang,Perempuan,8,5241.0,1
1883,D,kapal,4,3,189.0,3,sedang,Perempuan,4,5613.0,1
1884,F,kapal,3,5,283.0,5,rendah,Perempuan,50,2848.0,1
1885,A,pesawat,7,2,284.0,4,rendah,Perempuan,1,1085.0,1
1886,B,kapal,4,3,273.0,4,sedang,Perempuan,1,4585.0,0
1887,B,darat,5,3,236.0,2,sedang,Laki-laki,6,1329.0,1
1888,D,kapal,4,4,252.0,5,sedang,Laki-laki,1,1539.0,1
1889,C,kapal,4,4,259.0,2,sedang,Laki-laki,44,2132.0,1
1890,A,darat,2,1,235.0,3,tinggi,Laki-laki,8,4522.0,1
1891,A,kapal,2,3,140.0,2,sedang,Laki-laki,20,1832.0,1
1892,D,kapal,2,2,236.0,3,sedang,Laki-laki,3,3416.0,1
1893,F,pesawat,3,4,252.0,4,rendah,Perempuan,10,5495.0,0
1894,D,darat,4,3,260.0,5,rendah,Perempuan,8,1756.0,0
1895,F,kapal,4,1,219.0,2,sedang,Laki-laki,6,5314.0,0
1896,F,kapal,3,5,229.0,3,sedang,Perempuan,12,3049.0,1
1897,F,kapal,6,5,304.0,4,rendah,Perempuan,6,1864.0,1
1898,B,kapal,6,1,249.0,4,sedang,Laki-laki,2,1326.0,1
1899,B,kapal,4,3,208.0,2,sedang,Perempuan,4,4767.0,1
1900,C,kapal,4,1,228.0,2,sedang,Perempuan,9,4091.0,0
1901,D,darat,5,4,223.0,2,rendah,Laki-laki,5,4424.0,1
1902,B,darat,5,4,249.0,3,,Perempuan,2,4397.0,1
1903,A,kapal,4,5,134.0,4,rendah,Laki-laki,36,1191.0,1
1904,A,kapal,4,2,185.0,3,sedang,Laki-laki,1,5338.0,0
1905,D,darat,5,3,168.0,4,rendah,Laki-laki,7,1298.0,1
1906,B,kapal,6,1,232.0,6,rendah,Laki-laki,4,5877.0,0
1907,F,kapal,2,2,154.0,3,sedang,Laki-laki,38,,1
1908,F,kapal,5,1,249.0,4,sedang,Laki-laki,5,1027.0,1
1909,C,kapal,5,5,132.0,3,rendah,Perempuan,2,5552.0,0
1910,F,kapal,4,3,136.0,3,sedang,Laki-laki,20,1531.0,1
1911,F,kapal,5,5,184.0,3,rendah,Perempuan,5,5045.0,0
1912,D,kapal,3,2,133.0,2,rendah,Perempuan,3,4677.0,1
1913,F,kapal,4,2,184.0,2,sedang,Perempuan,10,5959.0,0
1914,C,kapal,5,4,184.0,3,rendah,Perempuan,1,4208.0,1
1915,F,kapal,6,5,276.0,4,sedang,Perempuan,6,1005.0,1
1916,F,kapal,6,4,217.0,4,sedang,Perempuan,4,4247.0,1
1917,C,kapal,6,3,260.0,4,,Laki-laki,9,1800.0,0
1918,F,pesawat,3,4,270.0,2,rendah,Laki-laki,4,4681.0,0
1919,F,darat,3,1,256.0,3,rendah,Perempuan,5,5643.0,0
1920,B,kapal,5,1,232.0,3,rendah,Perempuan,10,1014.0,1
1921,F,kapal,7,4,302.0,5,sedang,Laki-laki,7,1503.0,1
1922,D,kapal,4,1,189.0,2,sedang,Perempuan,63,3474.0,1
1923,B,kapal,3,1,244.0,4,sedang,Laki-laki,6,4734.0,1
1924,A,kapal,2,5,117.0,3,rendah,Laki-laki,44,1192.0,1
1925,B,kapal,4,4,195.0,4,sedang,Laki-laki,2,5464.0,0
1926,A,kapal,4,5,233.0,4,rendah,Perempuan,6,4652.0,0
1927,B,kapal,5,3,252.0,2,sedang,Laki-laki,9,1809.0,0
1928,D,pesawat,3,1,264.0,4,rendah,Laki-laki,33,3561.0,1
1929,A,pesawat,6,4,266.0,4,rendah,Laki-laki,3,1503.0,1
1930,A,darat,5,3,254.0,5,rendah,Laki-laki,10,1501.0,1
1931,F,kapal,4,5,141.0,2,rendah,Perempuan,10,5907.0,1
1932,B,kapal,3,1,172.0,3,sedang,Laki-laki,5,5696.0,1
1933,F,kapal,2,1,222.0,2,sedang,Laki-laki,58,3626.0,1
1934,F,pesawat,4,2,,2,sedang,Laki-laki,24,2405.0,1
1935,B,kapal,3,3,250.0,3,sedang,Laki-laki,9,2752.0,1
1936,D,darat,4,2,255.0,5,sedang,Laki-laki,2,1186.0,1
1937,A,kapal,3,4,240.0,2,sedang,Perempuan,2,3729.0,1
1938,F,pesawat,4,5,216.0,2,rendah,Laki-laki,59,3088.0,1
1939,A,kapal,4,4,254.0,5,rendah,Laki-laki,2,1573.0,1
1940,C,pesawat,5,2,156.0,5,rendah,Laki-laki,9,5237.0,0
1941,B,kapal,3,4,161.0,3,rendah,Perempuan,25,1048.0,1
1942,C,kapal,3,2,209.0,2,rendah,Laki-laki,9,5203.0,0
1943,F,kapal,3,1,173.0,2,sedang,Perempuan,1,5927.0,1
1944,B,pesawat,5,4,242.0,3,tinggi,Perempuan,2,3564.0,1
1945,A,pesawat,3,5,188.0,2,rendah,Perempuan,12,2711.0,1
1946,D,kapal,4,1,265.0,2,sedang,Laki-laki,18,3327.0,1
1947,A,kapal,3,1,242.0,5,rendah,Perempuan,3,4026.0,0
1948,F,pesawat,3,3,154.0,4,sedang,Perempuan,62,1616.0,1
1949,F,darat,4,4,238.0,4,tinggi,Laki-laki,1,5702.0,1
1950,B,kapal,3,3,260.0,2,rendah,Laki-laki,8,5382.0,0
1951,D,darat,3,3,255.0,2,sedang,Laki-laki,3,2894.0,1
1952,A,kapal,3,2,198.0,2,rendah,Laki-laki,9,4250.0,1
1953,F,kapal,4,5,263.0,2,sedang,Laki-laki,13,2779.0,1
1954,B,pesawat,5,4,235.0,3,sedang,Perempuan,8,4636.0,0
1955,A,kapal,5,4,274.0,5,rendah,Laki-laki,7,1371.0,1
1956,C,darat,5,1,206.0,2,rendah,Laki-laki,2,3490.0,1
1957,D,kapal,5,4,140.0,4,rendah,Laki-laki,3,4018.0,0
1958,A,kapal,4,4,209.0,3,rendah,Perempuan,44,2075.0,1
1959,A,kapal,3,2,141.0,4,rendah,Laki-laki,9,1909.0,1
1960,F,kapal,4,3,245.0,4,sedang,Laki-laki,8,5982.0,1
1961,F,kapal,3,2,212.0,2,sedang,Perempuan,65,3776.0,1
1962,F,kapal,2,4,268.0,4,rendah,Laki-laki,5,4400.0,1
1963,A,darat,4,5,234.0,4,sedang,Laki-laki,9,5769.0,0
1964,A,kapal,6,1,265.0,4,rendah,Perempuan,1,1345.0,1
1965,D,kapal,6,2,247.0,4,sedang,Laki-laki,3,1118.0,0
1966,A,kapal,4,3,185.0,3,sedang,Perempuan,10,2263.0,1
1967,C,kapal,3,2,134.0,3,sedang,Perempuan,54,1932.0,1
1968,F,kapal,4,3,208.0,3,sedang,Perempuan,7,4525.0,1
1969,F,kapal,2,1,166.0,3,sedang,Perempuan,7,5990.0,1
1970,A,pesawat,3,2,264.0,3,sedang,Laki-laki,5,3861.0,1
1971,B,kapal,4,2,184.0,3,sedang,Perempuan,5,5931.0,1
1972,B,darat,3,2,162.0,3,sedang,Laki-laki,6,4505.0,1
1973,F,kapal,7,2,282.0,5,rendah,Laki-laki,6,1744.0,1
1974,C,darat,6,1,308.0,4,rendah,Perempuan,7,1260.0,1
1975,C,kapal,3,1,210.0,3,sedang,Laki-laki,4,5683.0,0
1976,C,darat,4,2,253.0,5,sedang,Perempuan,9,1438.0,0
1977,A,kapal,5,2,236.0,3,rendah,Perempuan,51,3402.0,1
1978,F,kapal,4,4,218.0,2,sedang,Laki-laki,3,5039.0,0
1979,B,darat,5,1,249.0,5,sedang,Perempuan,1,1654.0,1
1980,F,kapal,3,2,151.0,2,rendah,Perempuan,3,4759.0,0
1981,F,kapal,4,4,247.0,3,rendah,Laki-laki,55,2361.0,1
1982,D,kapal,4,3,242.0,3,rendah,Laki-laki,1,2808.0,1
1983,F,darat,3,4,176.0,3,tinggi,Laki-laki,36,1779.0,1
1984,F,kapal,7,1,244.0,4,rendah,Laki-laki,8,1817.0,1
1985,C,kapal,3,5,160.0,3,sedang,Perempuan,1,5062.0,0
1986,B,pesawat,6,5,301.0,4,rendah,Perempuan,3,1958.0,0
1987,A,kapal,5,3,210.0,2,rendah,Laki-laki,19,3920.0,1
1988,D,kapal,5,5,273.0,4,rendah,Laki-laki,1,5225.0,1
1989,F,kapal,5,3,231.0,2,rendah,Laki-laki,8,5743.0,1
1990,F,kapal,7,2,276.0,4,rendah,Laki-laki,9,1022.0,1
1991,F,darat,6,4,304.0,4,rendah,Laki-laki,6,1890.0,1
1992,B,kapal,4,2,251.0,6,sedang,Perempuan,1,1154.0,1
1993,F,kapal,5,2,274.0,6,sedang,Laki-laki,2,1748.0,1
1994,A,kapal,3,3,166.0,3,tinggi,Laki-laki,6,5089.0,1
1995,F,kapal,3,3,111.0,3,sedang,Laki-laki,54,1712.0,1
1996,C,pesawat,5,1,158.0,4,sedang,Perempuan,4,5687.0,1
1997,A,kapal,4,4,149.0,2,sedang,Perempuan,19,1665.0,1
1998,F,kapal,3,2,183.0,3,sedang,Perempuan,25,2023.0,1
1999,D,kapal,3,5,115.0,3,sedang,Laki-laki,60,1122.0,1
2000,C,darat,6,1,302.0,4,rendah,Perempuan,1,1622.0,1
2001,F,pesawat,4,4,212.0,3,rendah,Laki-laki,21,3307.0,1
2002,C,kapal,4,5,144.0,2,rendah,Laki-laki,2,4978.0,0
2003,F,pesawat,5,3,146.0,3,rendah,Laki-laki,41,1204.0,1
2004,F,kapal,3,2,207.0,2,rendah,Laki-laki,9,4671.0,0
2005,A,darat,3,4,186.0,3,tinggi,Laki-laki,1,5922.0,1
2006,D,kapal,4,1,238.0,3,rendah,Perempuan,33,2013.0,1
2007,C,kapal,3,2,167.0,2,rendah,Laki-laki,2,1010.0,1
2008,F,pesawat,5,2,255.0,2,sedang,Laki-laki,9,5609.0,0
2009,F,darat,5,2,142.0,2,rendah,Perempuan,55,1758.0,1
2010,F,kapal,4,5,238.0,3,rendah,Laki-laki,9,1724.0,1
2011,B,kapal,5,3,262.0,5,rendah,Perempuan,10,1197.0,1
2012,F,kapal,6,3,306.0,4,tinggi,Perempuan,5,1261.0,1
2013,F,kapal,3,3,144.0,2,rendah,Laki-laki,6,5994.0,1
2014,F,pesawat,5,2,205.0,3,sedang,Perempuan,1,4351.0,0
2015,F,kapal,5,2,265.0,3,rendah,Laki-laki,10,4347.0,1
2016,C,kapal,3,4,175.0,2,sedang,Laki-laki,9,5643.0,1
2017,B,darat,3,3,167.0,3,rendah,Perempuan,8,4420.0,0
2018,F,kapal,5,5,230.0,2,rendah,Perempuan,2,2229.0,1
2019,D,darat,4,2,261.0,5,sedang,Laki-laki,5,1073.0,1
2020,B,pesawat,5,3,230.0,5,sedang,Laki-laki,4,1123.0,0
2021,C,kapal,3,1,209.0,2,rendah,Perempuan,2,4855.0,0
2022,F,kapal,4,2,216.0,2,sedang,Perempuan,22,3024.0,1
2023,F,kapal,3,5,193.0,3,sedang,Perempuan,9,4982.0,0
2024,C,kapal,4,2,170.0,2,rendah,Perempuan,1,1446.0,1
2025,A,darat,4,4,253.0,2,rendah,Perempuan,6,5892.0,0
2026,F,kapal,5,1,247.0,5,sedang,Perempuan,8,1842.0,1
2027,F,kapal,3,3,163.0,3,sedang,Laki-laki,9,1257.0,1
2028,F,kapal,4,2,246.0,3,rendah,Perempuan,1,5815.0,1
2029,A,pesawat,3,3,253.0,4,sedang,Perempuan,57,2489.0,1
2030,D,kapal,3,2,200.0,3,rendah,Laki-laki,46,3642.0,1
2031,A,kapal,5,1,216.0,3,rendah,Laki-laki,40,2668.0,1
2032,D,kapal,3,5,228.0,4,rendah,Perempuan,7,4068.0,1
2033,A,darat,5,1,135.0,3,rendah,Laki-laki,3,4939.0,1
2034,F,pesawat,6,5,256.0,5,rendah,Laki-laki,10,1686.0,0
2035,C,kapal,3,1,152.0,3,rendah,Laki-laki,1,4949.0,1
2036,C,darat,4,2,142.0,3,rendah,Laki-laki,2,4790.0,1
2037,F,kapal,5,1,201.0,3,rendah,Perempuan,47,2657.0,1
2038,C,kapal,5,2,173.0,3,rendah,Laki-laki,8,4797.0,1
2039,B,kapal,3,1,175.0,3,sedang,Perempuan,9,5797.0,0
2040,D,kapal,3,1,294.0,4,rendah,Perempuan,25,1498.0,1
2041,C,kapal,3,5,168.0,3,rendah,Laki-laki,8,5877.0,0
2042,F,darat,5,1,143.0,3,rendah,Laki-laki,5,5146.0,1
2043,C,kapal,3,3,214.0,3,sedang,Laki-laki,3,4056.0,1
2044,F,darat,3,4,190.0,4,sedang,Perempuan,7,5963.0,1
2045,D,kapal,3,3,154.0,2,sedang,Perempuan,1,5746.0,1
2046,F,kapal,3,5,150.0,2,rendah,Laki-laki,29,1934.0,1
2047,F,kapal,2,4,255.0,3,rendah,Perempuan,55,1663.0,1
2048,A,kapal,4,2,191.0,2,tinggi,Laki-laki,65,3082.0,1
2049,F,pesawat,4,3,178.0,3,sedang,Laki-laki,3,5669.0,0
2050,F,kapal,2,2,198.0,2,rendah,Laki-laki,11,3686.0,1
2051,F,kapal,4,4,177.0,7,rendah,Perempuan,3,5646.0,1
2052,A,kapal,3,5,205.0,3,sedang,Perempuan,9,4565.0,1
2053,F,kapal,4,2,167.0,4,tinggi,Laki-laki,5,5250.0,0
2054,F,kapal,3,3,238.0,3,sedang,Laki-laki,54,2860.0,1
2055,C,kapal,4,4,227.0,5,rendah,Laki-laki,8,1982.0,1
2056,C,darat,4,3,163.0,3,rendah,Perempuan,45,1395.0,1
2057,A,kapal,4,1,140.0,2,rendah,Laki-laki,61,1770.0,1
2058,D,kapal,4,3,170.0,6,sedang,Laki-laki,6,4998.0,0
2059,A,darat,3,1,164.0,2,rendah,Laki-laki,2,1104.0,1
2060,C,kapal,4,1,161.0,6,rendah,Perempuan,2,5734.0,0
2061,F,kapal,3,2,162.0,4,rendah,Laki-laki,25,1316.0,1
2062,C,pesawat,4,1,174.0,4,rendah,Laki-laki,3,,0
2063,F,pesawat,5,4,135.0,4,sedang,Laki-laki,4,4541.0,0
2064,A,kapal,4,5,247.0,5,rendah,Laki-laki,9,1499.0,0
2065,C,darat,5,5,227.0,5,sedang,Perempuan,3,1687.0,0
2066,C,darat,4,1,239.0,3,sedang,Perempuan,9,4930.0,1
2067,B,kapal,3,3,254.0,2,sedang,Laki-laki,8,,1
2068,F,kapal,5,1,257.0,6,rendah,Laki-laki,2,1258.0,1
2069,B,kapal,3,4,210.0,3,rendah,Laki-laki,10,4398.0,1
2070,F,kapal,5,5,270.0,3,rendah,Perempuan,9,5807.0,1
2071,A,darat,3,1,133.0,3,sedang,Laki-laki,6,5464.0,1
2072,B,kapal,6,3,154.0,5,sedang,Perempuan,57,1117.0,1
2073,A,kapal,7,5,296.0,4,rendah,Perempuan,2,1823.0,1
2074,D,darat,4,2,202.0,3,rendah,Laki-laki,8,4575.0,1
2075,C,pesawat,3,2,273.0,3,tinggi,Laki-laki,8,5754.0,1
2076,A,kapal,5,1,230.0,4,sedang,Laki-laki,4,5363.0,0
2077,A,kapal,3,4,212.0,8,rendah,Perempuan,56,3337.0,1
2078,F,kapal,4,4,274.0,2,rendah,Perempuan,7,4873.0,1
2079,C,kapal,4,5,206.0,2,rendah,Perempuan,10,4264.0,1
2080,C,kapal,3,1,238.0,3,rendah,Laki-laki,17,2624.0,1
2081,F,kapal,3,3,273.0,2,sedang,Perempuan,16,2466.0,1
2082,C,kapal,4,3,145.0,3,rendah,Perempuan,5,5802.0,1
2083,C,darat,4,4,199.0,4,sedang,Perempuan,5,4194.0,0
2084,F,pesawat,3,5,242.0,2,rendah,Laki-laki,1,5803.0,1
2085,D,kapal,3,3,144.0,3,rendah,Laki-laki,1,1274.0,1
2086,F,pesawat,5,3,238.0,5,rendah,Laki-laki,1,1871.0,1
2087,F,darat,6,5,309.0,4,rendah,Laki-laki,6,1463.0,1
2088,C,kapal,5,1,148.0,3,rendah,Perempuan,5,5790.0,0
2089,F,kapal,4,1,276.0,2,sedang,Laki-laki,3,1966.0,0
2090,F,pesawat,5,3,198.0,3,rendah,Perempuan,6,5061.0,1
2091,A,darat,4,4,200.0,4,sedang,Laki-laki,16,2060.0,1
2092,D,kapal,4,5,226.0,2,rendah,Laki-laki,10,4706.0,1
2093,B,kapal,4,5,170.0,3,rendah,Laki-laki,2,5671.0,0
2094,D,kapal,4,1,266.0,4,rendah,Laki-laki,3,5773.0,1
2095,A,kapal,3,2,214.0,2,rendah,Laki-laki,26,3503.0,1
2096,B,kapal,3,2,192.0,3,sedang,Perempuan,64,3233.0,1
2097,B,kapal,2,3,160.0,3,rendah,Perempuan,43,1251.0,1
2098,F,darat,3,4,160.0,4,rendah,Laki-laki,1,5341.0,0
2099,F,kapal,4,2,149.0,3,sedang,Perempuan,54,1506.0,1
2100,C,kapal,3,1,212.0,2,sedang,Laki-laki,7,5022.0,0
2101,F,kapal,4,3,228.0,3,sedang,Perempuan,1,5129.0,1
